Person Number,Location Code,Craft Vs Professionals,Area,Business Function
512292,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
537885,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
500173,Altamira MX Lado Poniente,CRAFT,"North, Central and South America",Fabrication
516672,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
513920,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536476,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
541599,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
541529,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
510827,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
523632,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
513921,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
521881,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
508229,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
520132,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
516800,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536156,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
510680,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
537613,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
539915,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
541068,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
501348,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
506220,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
513158,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
524675,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
536120,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
520037,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
537344,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
541536,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
536737,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Finance
537371,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Supply Chain
501238,One McDermott Center,PROFESSIONAL,"North, Central and South America",Engineering
536693,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
536989,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Information Technology
537851,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
513611,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Finance
537681,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
545058,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
546952,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
545064,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
515943,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
522042,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
546963,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
513601,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
521193,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
537124,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Human Resources
511617,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Project Management & Controls
500653,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
539596,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
542400,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
521575,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
539287,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
543386,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
502018,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
546404,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",QHSES
544550,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
517259,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
522147,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
507596,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
508270,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
521847,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
546465,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Finance
536098,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
515232,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
516558,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
541975,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
542734,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
536891,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
523671,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
539918,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
521920,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
517914,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
501740,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
505144,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
513875,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
523161,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
521898,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
537843,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
510298,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
511731,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
539415,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
515080,One McDermott Center,PROFESSIONAL,"North, Central and South America",Engineering
521621,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
520274,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
542468,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Supply Chain
536176,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
540252,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
501311,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
517804,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Information Technology
522261,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
546568,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
501844,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
544953,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
537013,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
540504,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
539882,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
524270,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
